yearID,teamID,name,W,L,world_series_winner,win_pct,run_diff_per_game,runs_per_game,ops,home_runs_per_game,stolen_bases_per_game,era,whip
2012,OAK,Oakland Athletics,94,68,0,0.5802469135802469,0.6111111111111112,4.401234567901234,0.7139211923556084,1.2037037037037037,0.7530864197530864,3.48,1.239455782312925
2012,SFN,San Francisco Giants,94,68,1,0.5802469135802469,0.42592592592592593,4.432098765432099,0.7240782380658725,0.6358024691358025,0.7283950617283951,3.68,1.2749827705031014
2012,BAL,Baltimore Orioles,93,69,0,0.5740740740740741,0.043209876543209874,4.395061728395062,0.7283608407391734,1.3209876543209877,0.35802469135802467,3.9,1.2906271072151045
2012,TEX,Texas Rangers,93,69,0,0.5740740740740741,0.6234567901234568,4.987654320987654,0.7795780630791584,1.2345679012345678,0.5617283950617284,3.99,1.2649098474341194
2012,DET,Detroit Tigers,88,74,0,0.5432098765432098,0.345679012345679,4.481481481481482,0.7569274836637135,1.0061728395061729,0.36419753086419754,3.75,1.2910065237651445
2012,SLN,St. Louis Cardinals,88,74,0,0.5432098765432098,0.7222222222222222,4.722222222222222,0.7585664994373857,0.9814814814814815,0.5617283950617284,3.71,1.2689152233363719
2013,BOS,Boston Red Sox,97,65,1,0.5987654320987654,1.2160493827160495,5.265432098765432,0.7953445639605626,1.0987654320987654,0.7592592592592593,3.79,1.299862448418157
2013,SLN,St. Louis Cardinals,97,65,0,0.5987654320987654,1.154320987654321,4.833333333333333,0.7332361109704058,0.7716049382716049,0.2777777777777778,3.42,1.2448047499429093
2013,ATL,Atlanta Braves,96,66,0,0.5925925925925926,0.8641975308641975,4.246913580246914,0.7230224088816114,1.117283950617284,0.3950617283950617,3.18,1.196276717995863
2013,OAK,Oakland Athletics,96,66,0,0.5925925925925926,0.8765432098765432,4.734567901234568,0.745364587254377,1.1481481481481481,0.4567901234567901,3.56,1.2169421487603307
2013,PIT,Pittsburgh Pirates,94,68,0,0.5802469135802469,0.35185185185185186,3.9135802469135803,0.7093226764306508,0.9938271604938271,0.5802469135802469,3.26,1.2334542157751587
2013,DET,Detroit Tigers,93,69,0,0.5740740740740741,1.0617283950617284,4.91358024691358,0.7803227891404672,1.0864197530864197,0.21604938271604937,3.61,1.2518231540565177
2013,CLE,Cleveland Indians,92,70,0,0.5679012345679012,0.5123456790123457,4.598765432098766,0.7365846804710057,1.0555555555555556,0.7222222222222222,3.82,1.3272432932469935
2013,LAN,Los Angeles Dodgers,92,70,0,0.5679012345679012,0.41358024691358025,4.006172839506172,0.7223717862431014,0.8518518518518519,0.48148148148148145,3.25,1.2279935646977707
2013,TBA,Tampa Bay Rays,92,71,0,0.5644171779141104,0.3312883435582822,4.294478527607362,0.736773130722546,1.0122699386503067,0.44785276073619634,3.74,1.2274590163934427
2013,CIN,Cincinnati Reds,90,72,0,0.5555555555555556,0.6728395061728395,4.308641975308642,0.7180622650929355,0.9567901234567902,0.41358024691358025,3.38,1.1732639674281835
2014,LAA,Los Angeles Angels of Anaheim,98,64,0,0.6049382716049383,0.8827160493827161,4.771604938271605,0.7281986064207242,0.9567901234567902,0.5,3.58,1.2214478417266186
2014,BAL,Baltimore Orioles,96,66,0,0.5925925925925926,0.691358024691358,4.351851851851852,0.7335046244798084,1.3024691358024691,0.2716049382716049,3.43,1.2413321167883213
2014,WAS,Washington Nationals,96,66,0,0.5925925925925926,0.808641975308642,4.234567901234568,0.7139865716793421,0.9382716049382716,0.6234567901234568,3.03,1.1579782411604713
2014,LAN,Los Angeles Dodgers,94,68,0,0.5802469135802469,0.6234567901234568,4.432098765432099,0.7382800600858469,0.8271604938271605,0.8518518518518519,3.4,1.206417842512517
2014,DET,Detroit Tigers,90,72,0,0.5555555555555556,0.32098765432098764,4.672839506172839,0.7569615325566512,0.9567901234567902,0.654320987654321,4.01,1.3321870701513068
2014,SLN,St. Louis Cardinals,90,72,0,0.5555555555555556,0.09876543209876543,3.8209876543209877,0.6893079595237661,0.6481481481481481,0.35185185185185186,3.5,1.2363092498849517
2014,KCA,Kansas City Royals,89,73,0,0.5493827160493827,0.16666666666666666,4.018518518518518,0.6895413983664398,0.5864197530864198,0.9444444444444444,3.51,1.2587316176470587
2014,OAK,Oakland Athletics,88,74,0,0.5432098765432098,0.9691358024691358,4.5,0.7003240980295471,0.9012345679012346,0.5123456790123457,3.22,1.1446469248291573
2014,PIT,Pittsburgh Pirates,88,74,0,0.5432098765432098,0.3148148148148148,4.209876543209877,0.734156723155213,0.9629629629629629,0.6419753086419753,3.47,1.263447013046464
2014,SFN,San Francisco Giants,88,74,1,0.5432098765432098,0.3148148148148148,4.104938271604938,0.6988535439322894,0.8148148148148148,0.345679012345679,3.5,1.1690821256038648
2015,SLN,St. Louis Cardinals,100,62,0,0.6172839506172839,0.7530864197530864,3.993827160493827,0.7155090128915532,0.845679012345679,0.42592592592592593,2.94,1.253527537551206
2015,PIT,Pittsburgh Pirates,98,64,0,0.6049382716049383,0.6234567901234568,4.302469135802469,0.7190355359940075,0.8641975308641975,0.6049382716049383,3.21,1.238532110091743
2015,CHN,Chicago Cubs,97,65,0,0.5987654320987654,0.5,4.253086419753086,0.7194940247019483,1.0555555555555556,0.5864197530864198,3.36,1.1516879562043796
2015,KCA,Kansas City Royals,95,67,1,0.5864197530864198,0.5123456790123457,4.469135802469136,0.7339664643003024,0.8580246913580247,0.6419753086419753,3.73,1.2816804407713498
2015,TOR,Toronto Blue Jays,93,69,0,0.5740740740740741,1.3641975308641976,5.5,0.7966989815330435,1.4320987654320987,0.5432098765432098,3.8,1.2144344205412907
2015,LAN,Los Angeles Dodgers,92,70,0,0.5679012345679012,0.4444444444444444,4.117283950617284,0.7387290275177667,1.154320987654321,0.36419753086419754,3.44,1.184228729536546
2015,NYN,New York Mets,90,72,0,0.5555555555555556,0.43209876543209874,4.216049382716049,0.7118922775741062,1.0925925925925926,0.3148148148148148,3.43,1.178669097538742
2015,TEX,Texas Rangers,88,74,0,0.5432098765432098,0.1111111111111111,4.635802469135802,0.7385504204658864,1.0617283950617284,0.6234567901234568,4.24,1.3634473197781884
2015,NYA,New York Yankees,87,75,0,0.5370370370370371,0.4074074074074074,4.716049382716049,0.7437328926073719,1.308641975308642,0.3888888888888889,4.03,1.2965927281042762
2015,HOU,Houston Astros,86,76,0,0.5308641975308642,0.6851851851851852,4.5,0.7517154532269857,1.4197530864197532,0.7469135802469136,3.57,1.2012491325468424
2016,CHN,Chicago Cubs,103,58,1,0.6358024691358025,1.5555555555555556,4.987654320987654,0.7721272705785286,1.228395061728395,0.4074074074074074,3.15,1.1098424297784881
2016,TEX,Texas Rangers,95,67,0,0.5864197530864198,0.04938271604938271,4.722222222222222,0.7548317459087077,1.3271604938271604,0.6111111111111112,4.37,1.3686763686763688
2016,WAS,Washington Nationals,95,67,0,0.5864197530864198,0.9320987654320988,4.709876543209877,0.7513974701576112,1.2530864197530864,0.7469135802469136,3.51,1.1920529801324502
2016,CLE,Cleveland Indians,94,67,0,0.5838509316770186,0.6273291925465838,4.826086956521739,0.7586467324217568,1.1490683229813665,0.8322981366459627,3.84,1.2394463667820068
2016,BOS,Boston Red Sox,93,69,0,0.5740740740740741,1.1358024691358024,5.419753086419753,0.8096385276177174,1.2839506172839505,0.5123456790123457,4.0,1.2725167862931233
2016,LAN,Los Angeles Dodgers,91,71,0,0.5617283950617284,0.5370370370370371,4.4753086419753085,0.7284445427315622,1.1666666666666667,0.2777777777777778,3.7,1.1906400550584997
2016,BAL,Baltimore Orioles,89,73,0,0.5493827160493827,0.17901234567901234,4.592592592592593,0.7603671462603239,1.5617283950617284,0.11728395061728394,4.22,1.363826815642458
2016,TOR,Toronto Blue Jays,89,73,0,0.5493827160493827,0.5740740740740741,4.685185185185185,0.7553274486588908,1.3641975308641976,0.3333333333333333,3.78,1.234125171311101
2016,NYN,New York Mets,87,75,0,0.5370370370370371,0.3333333333333333,4.1419753086419755,0.7325657315155665,1.345679012345679,0.25925925925925924,3.57,1.2688320663441603
2016,SFN,San Francisco Giants,87,75,0,0.5370370370370371,0.5185185185185185,4.41358024691358,0.7275012719340976,0.8024691358024691,0.4876543209876543,3.65,1.2141063684090392
2017,LAN,Los Angeles Dodgers,104,58,0,0.6419753086419753,1.1728395061728396,4.753086419753086,0.7712302365038511,1.3641975308641976,0.47530864197530864,3.38,1.154591601292109
2017,CLE,Cleveland Indians,102,60,0,0.6296296296296297,1.5679012345679013,5.049382716049383,0.7879305946736304,1.308641975308642,0.5432098765432098,3.3,1.1612679315131882
2017,HOU,Houston Astros,101,61,1,0.6234567901234568,1.2098765432098766,5.530864197530864,0.8233561546566736,1.4691358024691359,0.6049382716049383,4.12,1.2697095435684647
2017,WAS,Washington Nationals,97,65,0,0.5987654320987654,0.9074074074074074,5.055555555555555,0.7815056763738932,1.3271604938271604,0.6666666666666666,3.88,1.2407834101382489
2017,ARI,Arizona Diamondbacks,93,69,0,0.5740740740740741,0.9444444444444444,5.012345679012346,0.7741043299596682,1.3580246913580247,0.6358024691358025,3.66,1.2664816099930605
2017,BOS,Boston Red Sox,93,69,0,0.5740740740740741,0.7222222222222222,4.845679012345679,0.736033213318249,1.037037037037037,0.654320987654321,3.7,1.2473577692826625
2017,CHN,Chicago Cubs,92,70,0,0.5679012345679012,0.7839506172839507,5.074074074074074,0.775160321989338,1.376543209876543,0.38271604938271603,3.95,1.27683095347766
2017,NYA,New York Yankees,91,71,0,0.5617283950617284,1.2222222222222223,5.296296296296297,0.7850964783414411,1.4876543209876543,0.5555555555555556,3.72,1.209387942936033
2017,COL,Colorado Rockies,87,75,0,0.5370370370370371,0.41358024691358025,5.08641975308642,0.7813534107645583,1.1851851851851851,0.36419753086419754,4.51,1.3807094829584976
2017,MIN,Minnesota Twins,85,77,0,0.5246913580246914,0.16666666666666666,5.030864197530864,0.7677690376284043,1.271604938271605,0.5864197530864198,4.59,1.371866295264624
2018,BOS,Boston Red Sox,108,54,1,0.6666666666666666,1.4135802469135803,5.407407407407407,0.7923349253329081,1.2839506172839505,0.7716049382716049,3.75,1.2456581352833638
2018,HOU,Houston Astros,103,59,0,0.6358024691358025,1.623456790123457,4.919753086419753,0.7544670968335433,1.2654320987654322,0.4382716049382716,3.11,1.0989690721649485
2018,NYA,New York Yankees,100,62,0,0.6172839506172839,1.123456790123457,5.253086419753086,0.7806765622875453,1.6481481481481481,0.3888888888888889,3.78,1.239414053559167
2018,OAK,Oakland Athletics,97,65,0,0.5987654320987654,0.8580246913580247,5.018518518518518,0.7644788536303826,1.4012345679012346,0.21604938271604937,3.81,1.2124175574255174
2018,MIL,Milwaukee Brewers,96,67,0,0.588957055214724,0.5828220858895705,4.625766871165644,0.7469918345664683,1.3374233128834356,0.7607361963190185,3.73,1.2402464065708418
2018,CHN,Chicago Cubs,95,68,0,0.5828220858895705,0.7116564417177914,4.668711656441718,0.7435592738449026,1.0245398773006136,0.4049079754601227,3.65,1.3147437344773087
2018,LAN,Los Angeles Dodgers,92,71,0,0.5644171779141104,1.1901840490797546,4.932515337423313,0.7743202197772485,1.4417177914110428,0.4601226993865031,3.38,1.1524390243902438
2018,CLE,Cleveland Indians,91,71,0,0.5617283950617284,1.0493827160493827,5.049382716049383,0.7660555536323381,1.3333333333333333,0.8333333333333334,3.77,1.2049405306495884
2018,COL,Colorado Rockies,91,72,0,0.558282208588957,0.2147239263803681,4.785276073619632,0.7573343855817496,1.2883435582822085,0.5828220858895705,4.33,1.3103052559100299
2018,ATL,Atlanta Braves,90,72,0,0.5555555555555556,0.6296296296296297,4.685185185185185,0.7415021171266051,1.0802469135802468,0.5555555555555556,3.75,1.2844393592677346
2019,HOU,Houston Astros,107,55,0,0.6604938271604939,1.728395061728395,5.679012345679013,0.8479095685171043,1.7777777777777777,0.41358024691358025,3.66,1.1303852290859357
2019,LAN,Los Angeles Dodgers,106,56,0,0.654320987654321,1.6851851851851851,5.469135802469136,0.8096717903211101,1.7222222222222223,0.35185185185185186,3.37,1.101913765275536
2019,NYA,New York Yankees,103,59,0,0.6358024691358025,1.2592592592592593,5.820987654320987,0.8285068776605455,1.8888888888888888,0.3395061728395062,4.31,1.3035343035343034
2019,MIN,Minnesota Twins,101,61,0,0.6234567901234568,1.1419753086419753,5.796296296296297,0.8315821048807327,1.8950617283950617,0.1728395061728395,4.18,1.3038724373576311
2019,ATL,Atlanta Braves,97,65,0,0.5987654320987654,0.691358024691358,5.277777777777778,0.7886262364032905,1.537037037037037,0.5493827160493827,4.19,1.3573069852941175
2019,OAK,Oakland Athletics,97,65,0,0.5987654320987654,1.0185185185185186,5.216049382716049,0.7755124187813669,1.5864197530864197,0.30246913580246915,3.97,1.2416382252559728
2019,TBA,Tampa Bay Rays,96,66,0,0.5925925925925926,0.6975308641975309,4.746913580246914,0.7565513145259388,1.3395061728395061,0.5802469135802469,3.65,1.1713768935111915
2019,WAS,Washington Nationals,93,69,1,0.5740740740740741,0.9197530864197531,5.388888888888889,0.7961577960792935,1.4259259259259258,0.7160493827160493,4.27,1.2901806391848079
2019,SLN,St. Louis Cardinals,91,71,0,0.5617283950617284,0.6296296296296297,4.716049382716049,0.7368774498971914,1.2962962962962963,0.7160493827160493,3.8,1.2666204986149585
2019,MIL,Milwaukee Brewers,89,73,0,0.5493827160493827,0.018518518518518517,4.746913580246914,0.7673771510845003,1.5432098765432098,0.6234567901234568,4.4,1.325262677021471
